FIPS,residual_R,fitted_R,residual_F,fitted_F
1133,-0.1277925599601502,0.423098597610585,-0.08293304720169468,0.3782390848521295
4001,0.04251521397722936,0.77638135628589,0.09916128415149038,0.719735286111629
4003,-0.05632627803047315,0.6890004448134232,-0.004350186516514237,0.6370243532994642
4005,0.03154117611716978,0.7577424320373389,0.03505882139773047,0.7542247867567783
4007,-0.06815809970906699,0.6402967189530401,-0.010691780585847275,0.5828303998298204
4009,0.05924585819572044,0.4631342727760653,0.0931254956076649,0.4292546353641208
4011,0.052477905945047316,0.5193358440384591,0.10629500904356871,0.4655187409399377
4012,-0.05033894805671096,0.6013363218321219,0.0012301862560400256,0.549767187519371
4013,-0.05083035651169726,0.7657257593986511,-0.0037637174690207786,0.7186591203559747
4015,-0.10707170726645698,0.5971982862197922,-0.076366689459708,0.5664932684130433
4017,-0.0018743085364304034,0.6787279605832374,0.049771523662261945,0.627082128384545
4019,-0.027312441839368484,0.798550087191046,0.0036098947976648706,0.7676277505540128
4021,0.009036310687132666,0.6330351990469467,0.02190992665598099,0.6201615830780983
4023,0.10301264664333173,0.7213650397783714,0.05462558307861335,0.7697521033430899
4025,-0.11594844860060041,0.708793851934893,-0.06825121355590516,0.6610966168901977
4027,-0.013121150404929068,0.6976282698817831,-0.03177820704476557,0.7162853265216195
5001,0.06039264122621554,0.4845493596902123,0.04693117346509022,0.4980108274513376
5003,-0.036790258764988676,0.563046036821724,-0.038569843820090315,0.5648256218768257
5005,-0.045530014351248906,0.5213638660561271,-0.00310580001271456,0.47893965171759273
5007,-0.05378615760428467,0.6567329641647804,-0.007222456606488769,0.6101692631669846
5009,-0.06359418883736402,0.49172669216980197,-0.02757140566899708,0.45570390900143504
5011,-0.01243776712226212,0.5973037306925488,-0.025071613838364305,0.6099375774086511
5013,-0.013247187279451601,0.4891437605808361,-0.05077165132619437,0.5266682246275788
5015,0.07756245808816543,0.5152661799730368,0.10057372738771361,0.4922549106734886
5017,0.060000945570964366,0.6905389179453582,0.060799722683837855,0.6897401408324847
5019,0.06933547255111187,0.5840163831415157,0.04187840456775913,0.6114734511248684
5021,0.008557229503448907,0.42798660377609704,0.03969872235049628,0.39684511092904967
5023,-0.09103443048926563,0.49280057997276805,-0.06399010961504008,0.4657562590985425
5025,-0.02419957713455586,0.45437201564020907,-0.04191193716331338,0.4720843756689666
5027,-0.023070345474401073,0.6048480036721012,-0.0355964475812282,0.6173741057789283
5029,0.04072688607774147,0.5202713238284934,0.04470585835132159,0.5162923515549133
5031,-8.61994820939515e-4,0.5648402344396326,0.01200154032248729,0.5519766992962059
5033,-0.045654707808533285,0.5043815103545585,-0.014974351171756653,0.4737011537177819
5035,0.03442441264687419,0.6985575509355184,0.03557780081947464,0.6974041627629181
5037,0.05793469051605974,0.45564974359998694,0.03547221748325671,0.47811221663279
5039,0.0013264334242499998,0.6148974412650547,-0.02324099269242838,0.6394648673817331
5041,0.14192761261491943,0.5736595958971529,0.07636294196506306,0.6392242665470093
5043,0.028353064122234522,0.5700457926432176,0.016454975711171035,0.5819438810542811
5045,-0.04081329559478728,0.6304672401828821,-0.03376199104259736,0.6234159356306922
5047,-0.006547089513192903,0.43820262782319763,0.025479340896021375,0.40617619741398336
5049,0.010560973152018115,0.4445936522005098,0.06187663582946162,0.39327798952306625
5051,-0.05710437777273339,0.627861978540695,-0.03709083192488354,0.6078484326928452
5053,-0.06409297071804071,0.4606797467804808,-0.05808681786710039,0.4546735939295405
