FIPS,COUNTYNAME,N1,A00100,A00200,A00900,A01000,A01700,A02300,A02500,A26270,A19300,A19700,A10300,A59660,N59660,A11070
29209,Stone County,15640,833793,491900,28819,46540,115586,28439,57049,29213,6481,9314,87734,5984,2610,3185
29211,Sullivan County,2790,114048,93819,1563,5475,10630,1595,4061,1042,247,705,8443,1221,540,801
29213,Taney County,27680,1146548,766919,44337,55840,121718,75991,59123,30193,7280,15710,108503,13006,5900,7046
29215,Texas County,11160,400074,287484,17711,12745,59761,10018,17029,11882,1123,2576,33439,5635,2370,3344
29217,Vernon County,9070,384274,273857,15448,12657,46646,7343,17006,11497,625,1582,32143,4552,1870,2628
29219,Warren County,18170,1090251,786629,26425,40133,102169,23349,46552,41405,7054,6536,109022,5493,2450,3569
29221,Washington County,10290,391348,300678,6224,5661,46022,15542,14690,6670,1172,1507,27230,5922,2460,3203
29223,Wayne County,5090,184310,134101,3839,6252,26813,5620,7676,2683,324,500,13200,3159,1320,1617
29225,Webster County,17110,826893,621436,37821,24210,70537,18165,26977,37752,3126,6622,72168,7479,3130,4978
29227,Worth County,920,35494,25287,1158,1353,5585,711,2154,478,0,0,2910,326,160,171
29229,Wright County,7830,298254,214785,19237,13611,33536,8493,11159,15609,963,1777,23994,4951,1980,3034
29510,St. Louis city,148940,7545653,5950460,184227,257885,403666,247700,169126,216284,54735,107081,905308,79860,33820,34167
30001,Beaverhead County,4730,270069,155773,7757,27341,27945,5310,13768,20986,1863,1934,27289,1241,610,805
30003,Big Horn County,4740,189395,145038,3728,5648,16778,6132,8042,2928,422,948,13762,3707,1470,2296
30005,Blaine County,2800,114997,86187,2125,8339,8605,3581,5272,3361,203,418,9198,1451,630,991
30007,Broadwater County,3240,196765,127025,7360,15069,20840,4448,8989,11022,1870,1129,19216,705,360,565
30009,Carbon County,5680,356059,221403,16089,41163,34343,9996,17338,24058,3991,3597,43163,1292,690,781
30011,Carter County,610,22871,14920,988,7092,2114,319,1570,-646,0,0,2525,156,70,114
30013,Cascade County,41980,2366386,1591428,65732,111621,225999,70668,100782,126033,18147,22903,247632,13585,6370,8305
30015,Chouteau County,2420,120457,69613,3074,16534,8669,2190,7200,221,271,721,12033,878,380,614
30017,Custer County,5620,339256,207208,13357,32147,28348,7331,13989,26912,1043,1783,38187,1653,810,1124
30019,Daniels County,890,48574,30411,2117,3708,3091,243,2617,3815,0,0,5991,156,80,96
30021,Dawson County,4210,231090,166733,5612,8726,22817,6796,11664,4784,1003,1322,21431,1056,500,731
30023,Deer Lodge County,4530,232426,149448,5454,7297,36222,7134,14369,4208,1091,888,20687,1255,640,656
30025,Fallon County,1360,83903,61702,1702,5708,4681,1858,3317,2271,247,444,8729,276,140,257
30027,Fergus County,5820,336097,193760,11742,43742,28796,6610,16189,27441,1379,3251,35912,1545,790,1068
30029,Flathead County,56260,4138277,2280686,155631,506463,310422,132809,154414,418831,57706,64713,559385,15162,7420,10366
30031,Gallatin County,63420,6120673,3242127,218415,869304,245181,114855,135551,1070312,79800,98844,1004967,8496,5260,6341
30033,Garfield County,560,22999,12722,1058,7352,1070,0,1349,1509,0,0,2327,203,80,158
30035,Glacier County,5820,215408,163944,3660,5118,16444,12133,7880,2849,377,487,16936,3825,1570,2102
30037,Golden Valley County,470,18690,10934,390,1724,2057,285,1061,245,0,0,1503,101,50,78
30039,Granite County,1550,100062,50868,2103,13492,10847,3408,4980,7818,823,443,12888,310,180,216
30041,Hill County,7870,402600,286686,5758,17671,32085,9585,17174,11379,1880,2977,36545,3104,1360,1869
30043,Jefferson County,6320,479016,293527,11877,24196,53763,8671,23158,41957,5654,5442,57575,1132,590,830
30045,Judith Basin County,1030,42737,25984,1347,6768,5079,1029,2497,1686,0,124,4415,271,120,185
30047,Lake County,14570,789065,461886,29728,77203,87515,25084,40847,40376,8765,8979,84168,6330,2830,3894
30049,Lewis and Clark Coun,37030,2535994,1588536,75356,170595,286209,56763,118349,145637,24500,25147,288940,8230,4280,5350
30051,Liberty County,940,42846,22627,127,3994,2790,243,2578,1542,0,274,3761,242,100,205
30053,Lincoln County,9590,479742,269544,17876,29251,67999,22474,28093,26956,3922,3729,47343,3680,1710,2046
30055,McCone County,850,35263,26692,1054,4623,2857,220,2103,680,0,0,3493,184,90,142
30057,Madison County,4540,331984,162415,13109,59159,32161,6971,16586,29001,3641,5443,43387,886,460,586
30059,Meagher County,1050,45239,25368,1343,7132,4533,1195,1897,158,301,174,3865,223,140,152
30061,Mineral County,2290,121864,69541,2932,6075,17223,6008,6776,4909,1063,498,12373,857,410,524
30063,Missoula County,62640,4469901,2567428,153034,350794,307421,141415,151890,380677,51564,63813,593643,13904,7870,8224
