FIPS,PRES_DEM_RATIO
20105,0.1717236936092
20107,0.1812297701836
20109,0.1296167224646
20111,0.4450569748878
20113,0.2932330965996
20115,0.2534693181515
20117,0.2524057626724
20119,0.1472564339638
20121,0.2988892197609
20123,0.1822338402271
20125,0.2453074008226
20127,0.2555204927921
20129,0.1266891956329
20131,0.1658021807671
20133,0.2654448747635
20135,0.1001344099641
20137,0.1535217165947
20139,0.2724142372608
20141,0.1471204161644
20143,0.16238766908650001
20145,0.2392113059759
20147,0.1162280738354
20149,0.2595377862453
20151,0.230883449316
20153,0.1450847387314
20155,0.3251491189003
20157,0.1627014577389
20159,0.2282942980528
20161,0.5236923098564
20163,0.1272522509098
20165,0.1793313026428
20167,0.1769911497831
20169,0.3431650996208
20171,0.1292693465948
20173,0.4391944408417
20175,0.3521613776684
20177,0.5154089331627
20179,0.1028691381216
20181,0.1485928744078
20183,0.1600762307644
20185,0.1783216744661
20187,0.1942257285118
20189,0.1186780184507
20191,0.2422400861979
20193,0.1664447337389
20195,0.1507788151503
20197,0.253084808588
20199,0.0540540553629
20201,0.1673713922501
20203,0.155694887042
20205,0.1865325123072
20207,0.1931668817997
20209,0.6602060198784
21001,0.1605906784534
21003,0.1779367178679
21005,0.2573823332787
21007,0.1973212212324
21009,0.2591881155968
21011,0.2829645574093
21013,0.1801792681217
21015,0.318028241396
21017,0.3474594056606
21019,0.3313219249249
21021,0.3738884925842
21023,0.1905669420958
21025,0.233740568161
21027,0.2338075786829
21029,0.2557260096073
21031,0.1786719709635
21033,0.2260608971119
21035,0.3379410803318
21037,0.4048270881176
21039,0.1765827685595
21041,0.2742014825344
21043,0.2314092963934
21045,0.1293504238129
21047,0.3548939228058
21049,0.337019354105
21051,0.1106819361448
21053,0.1234896555543
21055,0.1747967451811
21057,0.1550198346376
21059,0.3577816486359
21061,0.2026424407959
21063,0.2407031804323
21065,0.2099147886038
21067,0.6061534881592
21069,0.2103310525417
21071,0.2407338470221
21073,0.4951076209545
21075,0.3301335573196
21077,0.2176330387592
21079,0.2131873220205
21081,0.2017383277416
21083,0.2122875005007
21085,0.2024803906679
21087,0.159777700901
21089,0.2716730833054
21091,0.3004893362522
21093,0.3776312768459
21095,0.1375563889742
21097,0.2747881710529
21099,0.2311886548996
21101,0.3750306963921
21103,0.2682529687881
21105,0.2108655571938
21107,0.2566050291061
21109,0.099867939949
21111,0.6024908423424
21113,0.3338268995285
21115,0.1598727405071
21117,0.4013658761978
21119,0.2280730158091
21121,0.1610544025898
21123,0.2092085182667
21125,0.1614696085453
21127,0.1801775544882
21129,0.175324678421
21131,0.0935598909855
21133,0.1993351727724
21135,0.1416767090559
21137,0.2098110467196
21139,0.1897352933884
21141,0.254419863224
21143,0.2604961693287
21145,0.3389881849289
21147,0.1134762838483
21149,0.22817081213
21151,0.3628910183907
21153,0.2251717150211
21155,0.308092802763
21157,0.2343965917826
21159,0.1033598333597
21161,0.3013139367104
21163,0.2628836035728
21165,0.2450179606676
21167,0.2628477215767
21169,0.1976084262133
21171,0.1243140995502
21173,0.287570297718
21175,0.2142987698317
21177,0.2524216473103
21179,0.3140098750591
21181,0.2839726507664
21183,0.218823954463
21185,0.3903646767139
21187,0.2037105709314
21189,0.1145281046629
21191,0.1933596581221
21193,0.2244936972857
21195,0.1933892816305
21197,0.2527736723423
21199,0.1820929050446
21201,0.2225153893232
21203,0.1470626443624
21205,0.3929511904716
21207,0.1504244506359
21209,0.3729172646999
21211,0.3491569459438
21213,0.312871992588
21215,0.2245495766401
21217,0.2400097250938
21219,0.2284302562475
21221,0.2460840940475
21223,0.2387355566025
21225,0.2354481071234
21227,0.4141927957535
21229,0.2683643400669
21231,0.186199337244
21233,0.2385941147804
21235,0.1687942296267
21237,0.2857629358768
21239,0.4384904503822
22001,0.1941224783659
22003,0.217723608017
22005,0.3339390456676
22007,0.3451909124851
22009,0.2927618026733
22011,0.1577216535807
22013,0.4407875835896
22015,0.2914619743824
22017,0.5343689322472
22019,0.3205754756927
22021,0.1578055471182
22023,0.0811013802886
22025,0.2638253569603
22027,0.4200892150402
22029,0.3640426397324
22031,0.3745624125004
22033,0.5665622353554
